machine_id,Coolant_level,Electrical_supply_voltage,Electrical_supply_current,Compressed_air_flow_rate,Compressed_air_pressure,Compressed_air_temperature,Through_spindle_coolant_pressure,Through_spindle_coolant_flow,Flood_coolant_flow,Coolant_temperature,Coolant_Acidity,Spindle_speed,Servo_motor_vibration,Servo_motor_torque,Coolant_dilution,Ballscrew_strain,Process_sound_monitoring,Spindle_vibration,Target_1
504131e0-83db-48b1-88af-8a97698761c1,204,183.1,106.2,91.4,44.9,3.9,1194.5,616.9,210.7,62.2,4.7,35074.9,41.1,159.6,27.9,72.5,121,27.6,2
aeb83d5a-dbc7-4d1b-a6f8-782502da6ebe,282,240.8,83.2,55.7,4.1,94.3,285.9,578.4,485.7,95.2,3.1,28840.2,16.1,131.7,17.6,52,164.7,48.8,2
b5bba8f4-dc8f-441b-bc26-10ac6ace7902,147,183.7,55.2,48.6,46.1,81.5,1169.2,115.8,375.8,34.2,13.6,9914.4,6.7,132.1,35.2,7.6,96.7,49.9,1
d25611a8-b104-495f-b0ae-29fdf17dc03b,114,144.8,113.2,102.3,18,95.8,1352.4,137.9,76.7,85.3,7.4,15783,19.6,41.9,148.7,59.5,38.9,13.1,1
00dd0fc6-4629-4c99-bf41-9b7749961491,105,241.6,8,76.7,27.1,82.2,835,460.3,294.9,94.4,4.5,14805.7,49.6,24.9,97.9,21.9,82.7,12.8,1
1b1055ba-3ed7-43dc-bcbe-c71d710d7394,150,178.5,49.7,84.6,0.5,5.1,967.2,168.1,582.3,17.1,6.7,19379.1,47.8,174.5,151.3,98.4,165.3,38.9,1
9661de1c-827f-4b99-940c-eba17b4db959,88,120.8,88.1,132.8,1.7,8.2,1383.6,482.2,327.1,37.3,5.6,27699.5,38.1,105.4,8.4,95,95.7,34.5,1
14e81b3f-d1bd-4d64-b2a3-ae4e791c2e5f,107,344.8,15.7,51.2,19.1,41.3,1293.8,156.8,123.5,41.2,2.2,3773.7,11.7,39.6,148.5,31.5,78.8,48.9,1
4b31b6e1-a359-4fbd-bf76-3b5279d77baa,72,269,98.7,110.4,12.1,34.7,1262.1,264.5,519.1,20.3,3.7,6583.1,31.4,24.5,47.3,6.4,155,18.2,2
125410eb-f1f3-4f7e-b6d2-68a898f4d19c,274,126.8,141.6,20,3.4,29.8,867.3,590.4,337.4,25.9,9,8455.8,2.5,41.7,194.1,85,65.5,4.6,1
396882d0-d446-4b6e-9a83-10e93f5262bb,164,132.1,14.2,56.4,48.1,72.3,367.6,191.1,448.6,50.8,9.9,35359.7,44.5,69.6,71.8,67.1,100.2,8,1
ce7421e7-131c-4afd-84e6-fa15f2804bfc,46,238.2,141,63.9,21.7,64.5,848.4,420.3,588.3,64.5,4.6,8353.4,34.6,40.1,16,64.5,114.5,32.9,2
7e78c333-c918-49c7-8f93-b9616ef0675a,8,114.6,114.6,110.2,25.1,13.4,879.7,677.7,141.6,32.1,1.1,42546.2,49.7,14.3,70.5,44.2,17.7,8.8,2
0d709d27-fcd0-4009-a4cc-7225a2a3b900,114,185.2,117.7,67.2,24.2,6.9,1056,513.3,212.7,25.3,5.7,10300.1,31.4,150.1,166.6,4.3,169.1,19.8,2
9c5a3ba1-684b-40eb-97d6-84972cbb3fc0,165,213.4,15.1,107.4,4.3,31.7,586,566.9,82.8,23.3,0.1,33246.8,37.1,52.3,101.7,17.9,150.7,10.9,1
da421b47-0693-41d3-bb98-fb49a720ded3,137,332,26.8,19.7,1.2,92.4,458.8,136.4,362.9,87,8.5,394.5,26.8,53,16.2,70.4,163.8,38.8,1
7b20e6e0-14f6-4eb7-ba85-53d105671731,182,239.1,10.7,118.5,7.6,37.7,519.4,690.1,652.2,46,7.8,7937.9,24.6,127.2,7.3,89.7,179.9,7.9,1
c1852711-caaf-4983-9fbc-e8f20c6579f4,176,213.1,126.1,122.8,38.7,75.4,1332,179.3,161.3,68.3,5.7,32015.7,35.6,162.2,14.1,15.4,16.3,45.3,1
02aa3eb6-35d6-4e14-bcd7-fb325c5821e7,41,147.7,93.4,38.1,2.8,65.3,1414.1,132.3,596.6,82.1,13.4,43206.2,31.1,7.1,46.3,33.3,132.3,48.5,2
e09af6c3-b697-4fce-8394-d3c6726085eb,57,108.7,42.6,65.5,34.1,94.6,928.6,546.1,654.6,18.5,2,14722.8,32.6,30.2,176.9,99.8,76.4,26.6,2
537db805-a60a-48bc-8a93-15de0af3b0ba,223,150.9,153.8,122.2,16.9,15.6,1474.6,23.9,421.4,72.3,13.1,4009.4,17.1,138.6,188.4,50.6,50.2,38.8,2
cf491f88-e172-425b-b8a0-5126cdc9ab98,91,287.5,118.5,129.7,1.9,95.8,1016.2,207.5,474.9,88.7,1.9,866.6,16.7,149.3,153,84.9,86.4,37.2,2
98c7f89d-6f94-422a-966d-3b8795de74ba,75,213.4,117.8,44.2,1.4,99.8,718.6,54.8,488.9,96.7,0.7,23644.9,10.6,162.7,76.2,89.3,152.6,50,1
606c8efa-e91d-430e-81d2-2850591963dc,105,178.1,48.6,110,1.6,18.7,1353.4,326.9,538.9,30.9,10.2,34095.5,40.5,85.4,71.9,92,28.8,45.3,1
840638c0-7be9-4bf1-b27d-8ab51dddabc8,181,324.5,113.6,142.5,48,36.6,1061.4,215.8,133.6,0.2,12.2,13175.1,29.7,70.9,129.8,1.3,149.3,36.6,2
40b240ac-7ef6-4da2-b11c-090942e6ec37,120,167.9,121.2,95.3,34.8,98.6,740.6,605.8,510.3,57.3,0.6,8420,37.2,108,64.8,83.6,17.7,15.7,2
1b27142b-3992-4bd0-ae8b-2e1ee6c828fa,128,218.2,132.1,23,7.7,31.6,1452.8,494.3,369.7,76.3,9,34180,43.7,153.2,108.6,83.5,173.7,6.3,1
d181d551-a685-4b00-bc13-6824f6c27672,140,302.9,141,142.2,31.3,36.2,1191.7,614.1,668,77.5,11.3,12445.1,43.8,20.8,2,15.6,126.6,40,2
dfce0447-b17c-4000-b729-0142a2ebb413,143,127.4,51.2,81.4,6.9,78.3,526.6,368.4,529.6,68.9,7.4,26594.2,47,32.6,177.9,68.5,67.3,37.8,1
2e62027d-9abc-410f-bd42-5387fa14d4e4,23,220,158.4,126.4,4,7,1225.3,484.6,501.1,88.6,9.9,30543,18.1,123.6,60.7,56.4,152.4,7.3,2
910241bd-324e-4886-ae89-79c311a739d4,268,233.7,126.4,140.3,18.5,59.2,437.9,210.8,94,63.8,6.5,28015.9,12.9,166.6,72.5,54.2,71.6,32.1,1
ac63a05b-8db9-4f45-8100-52337ccbb587,183,245.6,4.7,130.1,31.5,87.5,385.7,533.8,677.9,2.2,3.1,27073.8,35.4,5.4,181.6,50.3,157.3,28.8,2
b6a39a00-e294-462e-85f7-2305cdbe7ec2,113,304.7,59.3,132.6,38.7,3.4,895.9,611.8,208.7,56.9,2,36239.4,6.8,189.4,49.5,97.2,64.5,1.6,1
d1dd9287-483b-48da-b762-99628eb29fa4,140,235.3,72.4,137.6,16.2,19.4,466.1,603.4,336.3,49,8.4,27161.3,18.7,118.6,143.8,42.9,43,49.5,1
22b1e127-d77b-44b0-b6c8-e76a0268e37d,145,112.1,147.6,134.9,43.2,72.8,1119.3,324.6,487.1,48,13.2,31881.5,42.5,183.4,136.3,92.7,97.2,31.7,2
0e59db8c-b58b-4bfa-b922-5e933d2d3375,96,104.3,53,60.4,6.4,15.5,816,35.4,507.1,67.2,8.1,32744.5,49,144.2,142.3,95.7,9.4,5.1,1
07658988-1d05-4d4a-9d21-58c0173fd13d,179,336.6,104,123.1,31.3,93.6,841.1,675.3,253.4,92.3,9.8,18738.3,3.1,14.3,169.6,68.2,149.7,14.5,1
4b5aee2f-5178-4e05-b93a-78f3cbe92be7,234,177.8,9.7,50,12.2,96.6,794.9,587.9,211.5,53.8,7.2,29666.9,36.3,148.8,8.1,11,141.8,41.3,1
087dac33-05ba-46bb-ac71-2111955f124c,60,268.6,130.7,48.8,1.3,12.1,624,387.6,678.3,19.5,13,35908.9,14.9,135.9,137.2,25.9,78.2,40,1
426ffe53-a219-455a-b9cc-96783ff12512,106,262,57.8,109.9,21.3,69.3,189.8,176.9,9.8,80.1,1,4953.7,33.9,175.9,86.4,12.1,38.4,33.7,1
0b81be01-6156-4580-86b6-25cc695a12d7,148,159.6,111.7,97.6,26,91.1,519.2,673.8,127.4,81.5,10.5,24027.1,19.1,95.8,123.2,37.7,10.7,10.9,2
1ab94cfa-926c-42dd-a728-24884dbef80d,43,138.7,109.2,94.1,37.5,36.4,322.7,666.5,663.4,70.3,0.8,34197.7,29.5,79.4,154.2,69.9,49.4,7.5,2
3d872a24-2493-4b93-9d3a-48f1802ec7e2,134,242.1,119.2,86.6,11.4,81.9,277.8,275.1,80.9,15.3,1.5,21736.5,18.3,169.5,83.6,39.6,38.6,32,1
9eb7860c-34aa-46e5-a320-8c1759ba2773,10,115.7,65.6,7.1,22.3,6.5,1463,688.8,128.8,58.8,1,40798.3,49.9,74.5,133.4,70.9,150.2,32.6,2
70967326-2064-4104-9a71-3eeaec503328,153,308.7,15.1,33.7,11.5,63.6,308,226.3,7.5,65.7,10.7,28428,49,76.3,161.5,21.2,56.9,16.8,1
5ddba683-2dbd-439e-8a9c-6770c2faa079,175,120.7,1.8,24,33.9,59.2,383.6,213.6,202.3,5.1,8,35371.2,14.9,35,70.2,87.6,62,29.6,1
faa8b8e5-1124-4e0e-a093-bdd24d400dcd,231,169.2,37.3,118.2,18.3,38.4,713.7,10.2,334.9,44.5,7,38334.6,15.7,27.9,16.8,93.7,69.7,43.4,1
1b8a6036-01e9-46d0-812a-c10d3163b3e5,238,254.6,79.6,20.6,6.6,26.5,882.2,243.7,504.2,56.6,5.7,21301.3,44.7,117.9,106.4,46.6,10.6,35.4,1
160c6564-bfda-4eaa-9f69-2f16c28dbd1e,280,343,134.4,86.5,29.3,15.7,1421.2,685.6,543.1,43.5,10.5,30095.9,40.7,145.6,67.4,61,51.6,27.9,2
b49c53a5-0520-4663-a438-5b8c71d783c6,50,165.6,140.9,29,1.5,77.5,989.4,349.4,315.9,81,7.5,26056.4,38.2,145.7,126.3,89.5,45.8,5.5,1
c1bc78c2-f41d-4f82-a41e-0f857b255c0c,127,201.6,36.7,39.6,23.3,71.4,611.9,312.2,265.5,9.9,10.5,15443.5,12.9,86.2,27.7,4,106.6,5.3,1
ec591ba7-756d-498a-bf24-1d7c8d6a2bf0,66,293.3,128.5,100.6,29.5,3.2,587.7,363.7,488.8,63.4,12.8,2694.3,8.2,166.9,141.7,66.1,144.2,21.9,2
60408f52-9dc6-4e51-bc44-e709df7318eb,8,128.9,74.8,38,2.3,68.2,321.6,448.9,448,10.3,6.4,4677.5,24.5,6.6,118.7,64.3,133.5,21.6,1
f6d59fb4-6fca-46f5-b1ac-3b70d64bae7c,228,187.9,132.3,26,17.6,60.6,1330.6,566.6,169.1,88.2,6.5,27117.4,20.5,59.4,132.6,48.9,54.7,18.7,1
51c7be8a-c69c-4056-ab7d-e67db3ebbfd6,185,287.6,19.1,131.4,27.5,73.2,423.3,432,341.1,1.8,3.5,29845,7.1,98.7,153.7,60.1,48.5,17.7,1
1735057d-5138-40f6-b18e-00c424344934,221,205.7,124.4,35.4,20.2,19.8,883.6,435.3,594.3,21.8,11.3,26199.9,45.2,83.4,28.7,16,28.6,9.6,1
048958b5-11a9-4bbd-8f49-f9382aae35d9,256,130.5,117.5,101.2,1.7,47.6,1296,654,269.3,95.8,0.9,34511.2,47.9,15.1,19.9,94.7,76.8,10.2,2
d577667f-d911-47b9-9120-7f502f23ed27,14,327.9,127.5,136,0.6,83,1068.4,542,336.8,65.8,11.2,40697.1,30.3,18.8,45.9,12.9,154.6,44.9,2
72d9aace-0237-40ff-95a1-8f04500e02bf,134,165.8,55.5,99,39.5,16.9,944.7,187.8,143.7,31.3,13.2,26185.5,20.1,143.9,192.7,62.7,51.7,48,1
d410907d-f090-4293-8cd2-365a7854c776,78,298.6,36.1,30.2,20.6,52.8,95.9,237.1,93.9,99.7,7.6,19697.9,47,161.4,27.4,39.8,108.5,12.7,1
1f2a1ab8-a43b-4811-a696-94e2821edc12,73,313.9,155.6,73.3,18.9,80.7,1161.5,267.4,267.9,77.3,11.2,38695.8,2.6,129.5,115.3,51.6,32.2,48.5,2
f5659b1d-9ea4-4b76-82d4-dc4cbcc63884,71,204.1,85.9,119.3,4.1,81.2,1342.9,2.6,101.2,84.7,0.1,32326.2,5.1,24.2,172,11.4,72.9,9.6,1
737e6edc-b91b-4f13-a8e3-8b79de0ed3af,120,195.2,38.5,24.4,37.4,76.7,223.2,62.9,423.4,51.9,0.8,8183.6,12.4,183.5,128.6,79.2,121.8,11.7,1
ccda8804-874a-4e18-b3e7-3a9b68d5e547,31,146.4,74.2,70.5,24.6,22.5,274.4,273.9,531.1,86.5,6.8,5704.2,18.7,105,115.6,45.4,172,7.9,2
abe0f2ba-f51b-4d15-a860-552544a2fae3,177,204.4,75.3,42.4,46,46.7,277.2,487.6,683,22.3,6.7,40981.8,35.2,23,148.8,54.1,1,34.5,1
e8ffb96e-130c-40dc-ad59-7de18cba350b,23,207.4,73.5,137.2,15.3,91.2,40.6,101.6,107,76.9,0.7,31485.1,16.4,160.3,171.2,2.1,5,39.6,2
071f277b-57df-4a65-87a8-5dab86bfb27d,8,132,154.8,43.4,26.4,29,1096.6,299.7,606.1,12.6,1.4,40210,47.8,97.1,24.4,13.3,150.5,13.8,1
fb04fe1f-f01b-4890-9086-601340a02d54,165,278.8,69,43.2,19.2,99.6,767.9,250.5,552.4,86,4.9,16128.6,47.8,153.7,169.8,68.6,44.8,27.7,2
b8e9ee50-5bb7-4d24-8eaf-6598a6b6c191,40,140.9,44.3,11.5,10,63.8,161.8,676.9,446.4,95.8,3.3,24070,7.7,189.7,17.4,38.9,81.3,28.6,1
cc955c84-a8dc-4362-8e90-adf107740f0f,82,204.2,129.6,71.8,36.7,25.2,501.7,258.6,158,81.1,8.4,12212.7,35.2,7.5,95,95.5,87.8,40.8,1
b5973487-ed01-4da0-bc12-b267fdea2d3f,225,221.2,21.3,114,6.8,19.3,901.5,211,232.1,74.6,1.9,31607.1,19.2,49.3,26,72,15.8,42.1,1
5da57948-3bed-4895-8ba5-5eb6377e1464,10,228,77.6,13.7,33.1,12.3,324,187.7,315,47.5,8.9,10401.3,23.1,108.3,173.6,86,23.5,6.1,1
b2970e8d-2a65-4869-848e-46e286111835,48,236.7,48.1,109,7,41.2,1168.9,411.6,49.2,91.5,5.7,39679,4.4,40.5,136.1,43.6,90.7,31.3,1
09a3af95-a7a6-4991-be38-d0f5a4bbe95e,140,292.9,108,141,10.9,38.9,438.7,684.2,525.1,97.4,8.1,16712.9,30.2,67.1,38.8,44.3,108.4,8.2,2
c734b7c5-1550-432c-82f2-3fbdb45652e6,295,316.7,55.6,29.9,10.9,91.2,403.6,552.7,689.3,86.8,12.4,40112.5,37.2,196.7,148.4,61.5,34.5,40.6,2
582a6e36-9639-4db8-87c8-5504c6e7fb0d,171,207.3,55.8,102.2,15,22,672.1,661,358,43.7,6.1,38632.7,33.6,113.1,73.9,66.8,91.9,35.6,1
15094e4e-144d-4c95-a788-646d5a7bb6d6,32,294.2,155,121.8,9.8,70.7,597.3,442.3,15.7,78.5,10.3,43089,48.1,141.2,21.3,94.7,110,5.7,2
c0e3c54a-f6de-45a3-84d5-a2b52536874e,192,194,2.5,71.5,26.2,8.8,894.7,112.3,167.8,14.6,9.4,16806.8,28.3,146.8,33.1,47.8,170.5,10.9,1
12119658-a0ca-4dfe-8e54-d5c8901c7d12,191,298,80,113.5,49.4,89.1,619.5,516.9,624.9,21.4,10.6,29789.6,26.9,56.8,54.5,90.7,11.4,35.5,2
88756987-c473-4928-acbb-cf3af8f45324,223,217.2,120.6,122.2,20.5,89.8,693.2,688.7,173,6.6,13,12472,17.6,52.5,181.3,68.5,37.1,37,2
3f0890b1-3814-4a34-a355-5592ba3dcbca,160,278.1,14.5,17.6,46.6,72.7,193.7,27.2,556.4,83.8,8,24961,7.9,44.3,106.1,36.4,31.5,19.4,1
1b921da6-cb23-439a-9228-1224cf1ab44e,74,261.5,123.8,60.3,19.8,63,1257.4,26.7,89.3,72.7,11.3,10761.4,36.6,16,113.7,23.2,91.8,43.1,2
eff7dc8c-18ee-4063-8c92-0a164312c774,178,120.5,139.2,75.8,27.2,45.3,588.7,586,143,98.6,13.1,25094.4,38.8,96.6,185.5,97.9,74.1,15.2,2
314c4871-ee7c-48a0-bd2b-83e40bf629fc,18,289.6,60.7,40,7.8,53,1367.8,321.8,690.2,22,5.7,18563.3,1.8,75.3,112.1,69.8,66.6,35.2,1
8391e033-037b-4321-8967-311d829a3c61,160,275.5,90.8,65,12.9,99.5,433.7,648.4,309.7,32.8,13.6,43713.6,24.5,180.7,168.2,77.9,110.2,14.1,2
fd05c89f-2acb-4639-9473-8e0b88e0bcd6,201,198.3,139.6,123.5,8.5,93,695,618.9,418.2,61.3,13.9,15681.9,36.4,156.6,84.5,6.4,81.8,3.5,1
2346d600-fdbd-4581-aa4a-6fadc26c91bb,214,162.8,37.5,5,47.1,45.8,150.7,385,462.4,75.1,3.9,21087.7,26.2,104.8,11.5,92.8,23.3,16.6,1
6f50ba65-14a6-4a6b-8d5c-43bb98cb7948,223,170.2,21.2,44.4,41.1,22.5,735.4,304.4,26.4,20.6,7.6,12235.3,14.1,33,38.5,3.4,59.3,18.7,1
52affe07-fc45-4e8a-b319-9469d966ec97,240,203.5,76.3,106.3,36.5,32.4,1439.6,206.2,604.1,70.6,3.8,8667.2,4.7,68.1,178.8,80.3,98.6,41.2,2
2b1f065c-6852-4779-9071-41a7ae38b81a,253,128.2,85.6,64.7,16.4,59.4,1192.5,520.6,420,88.8,12.3,6654.7,21.1,189.8,182.8,79,101.5,26.5,2
78c63993-8cc8-46cb-8ed3-0ba280a02a9c,227,265.2,116,55.4,31.8,69,672.2,623.1,489.9,36.1,9.7,37706,16.3,24.1,44.5,58.2,122.9,35.2,2
2b87d41b-c8a4-4461-95dc-7054806b585d,239,236.1,136.9,138.9,36.4,87.4,17.5,177.8,328.6,29,4.3,25857.2,35.7,68.8,167,38.2,85.9,47.1,2
849cb948-049f-461b-bbc0-674b383a1b37,175,165.4,81.8,8.6,16,90.9,1212.4,602.1,140.9,54.8,2.9,36049.1,27.7,80.1,3.7,77.2,169.9,7.4,1
6d6ef075-de83-4224-99fb-cc5f2bfbd116,258,120.7,23.9,101.1,11.3,66.8,1071.5,131.6,615.8,46.4,8.2,38753.9,31.6,138.4,163.5,33,98.5,27.9,2
a4f69a41-a9e3-4355-8804-6e3706deb7a4,230,222.4,107.4,37.3,18.3,32.9,540.1,146,439.5,51.2,10.6,42315.7,34.8,197.4,144.3,10.3,24.8,22.5,1
676fea92-4721-45d3-bde8-a92cb696a160,134,137,45.3,84.2,24.5,76,316.1,267.7,594.9,56.9,4.2,34688.2,47.2,115.4,96.4,17.6,81.9,34.8,1
b3d06cfa-7e10-4129-880b-529e6b322ad6,168,215.2,150.4,86.5,19.9,41.6,232.7,223.3,61.9,21.9,10.1,39737.5,32.9,143.6,149.7,15.7,128,38,1
89829aeb-270c-452a-aea0-b045835b6668,220,137.2,114.7,92.2,40.7,55.9,1377.7,647.7,612.9,92.9,13.1,27668.3,2.3,197.7,63.9,29.1,1.8,29.3,2
f5575ba0-dc0b-41c1-b6d3-c20cc744b437,258,182.8,10.7,84.9,2.4,43.3,280.1,478.3,636.4,79.7,1.9,43218.9,42,34.3,35,72.5,135.5,48.8,2
a2d1c769-076a-43f5-9be6-723201a8acc1,234,295.7,116.1,149.5,46,61.3,1352.4,121.2,683.4,72.9,9.4,26887.6,49.4,192.2,38.9,46.5,152.9,17.9,2
161c6461-753a-4be3-9b17-15127df4912d,151,333.2,102.7,88.1,43.4,66.3,788.9,384.8,111.3,20.8,11.4,11477.4,37.3,167.9,96.5,3.4,34.8,43.3,1
